Benchmark                     ,    Min(us)    ,    Avg(us)    ,    Max(us)    

ecmult_gen                    ,    10.7       ,    10.7       ,    10.8    
ecmult_const                  ,    24.7       ,    24.7       ,    24.7    
ecmult_const_xonly            ,    26.6       ,    26.6       ,    26.7    
ecmult_1p                     ,    19.6       ,    19.8       ,    20.9    
ecmult_0p_g                   ,    13.6       ,    13.8       ,    14.1    
ecmult_1p_g                   ,    11.6       ,    11.8       ,    12.2    
ecmult_multi_0p_g             ,    13.5       ,    13.5       ,    13.6    
ecmult_multi_1p_g             ,    11.7       ,    11.7       ,    11.8    
ecmult_multi_2p_g             ,    11.0       ,    11.0       ,    11.0    
ecmult_multi_3p_g             ,    10.6       ,    10.6       ,    10.6    
ecmult_multi_4p_g             ,    10.3       ,    10.4       ,    10.4    
ecmult_multi_5p_g             ,    10.2       ,    10.2       ,    10.3    
ecmult_multi_6p_g             ,    10.1       ,    10.1       ,    10.1    
ecmult_multi_7p_g             ,     9.94      ,     9.96      ,     9.98   
ecmult_multi_8p_g             ,     9.86      ,     9.89      ,     9.92   
ecmult_multi_9p_g             ,     9.83      ,     9.84      ,     9.85   
ecmult_multi_10p_g            ,     9.77      ,     9.79      ,     9.80   
ecmult_multi_11p_g            ,     9.71      ,     9.75      ,     9.75   
ecmult_multi_12p_g            ,     9.67      ,     9.70      ,     9.71   
ecmult_multi_13p_g            ,     9.64      ,     9.67      ,     9.70   
ecmult_multi_14p_g            ,     9.62      ,     9.64      ,     9.65   
ecmult_multi_15p_g            ,     9.58      ,     9.60      ,     9.62   
ecmult_multi_17p_g            ,     9.54      ,     9.58      ,     9.70   
ecmult_multi_19p_g            ,     9.51      ,     9.52      ,     9.55   
ecmult_multi_21p_g            ,     9.45      ,     9.49      ,     9.51   
ecmult_multi_23p_g            ,     9.44      ,     9.54      ,    10.2    
ecmult_multi_25p_g            ,     9.42      ,     9.44      ,     9.46   
ecmult_multi_27p_g            ,     9.40      ,     9.42      ,     9.44   
ecmult_multi_29p_g            ,     9.38      ,     9.40      ,     9.42   
ecmult_multi_31p_g            ,     9.37      ,     9.38      ,     9.40   
ecmult_multi_35p_g            ,     9.34      ,     9.36      ,     9.38   
ecmult_multi_39p_g            ,     9.33      ,     9.34      ,     9.36   
ecmult_multi_43p_g            ,     9.32      ,     9.34      ,     9.35   
ecmult_multi_47p_g            ,     9.31      ,     9.32      ,     9.34   
ecmult_multi_51p_g            ,     9.30      ,     9.31      ,     9.32   
ecmult_multi_55p_g            ,     9.28      ,     9.31      ,     9.32   
ecmult_multi_59p_g            ,     9.28      ,     9.30      ,     9.31   
ecmult_multi_63p_g            ,     9.28      ,     9.28      ,     9.29   
ecmult_multi_71p_g            ,     9.25      ,     9.27      ,     9.28   
ecmult_multi_79p_g            ,     9.25      ,     9.31      ,     9.51   
ecmult_multi_87p_g            ,     9.24      ,     9.28      ,     9.46   
ecmult_multi_95p_g            ,     8.77      ,     8.78      ,     8.85   
ecmult_multi_103p_g           ,     8.62      ,     8.67      ,     8.76   
ecmult_multi_111p_g           ,     8.49      ,     8.50      ,     8.50   
ecmult_multi_119p_g           ,     8.38      ,     8.39      ,     8.40   
ecmult_multi_127p_g           ,     8.29      ,     8.30      ,     8.32   
ecmult_multi_143p_g           ,     8.21      ,     8.22      ,     8.25   
ecmult_multi_159p_g           ,     7.99      ,     7.99      ,     8.00   
